Order ID,Order Date,Outlet ID,Outlet Type,Outlet Size,Outlet Location,Establishment Year,Product ID,Item Type,Item Fat Content,Units,Sales,Rating,Item Visibility
ORD100039,10-06-2023,OUT012,Convenience Store,Small,Tier 2,2006,SKU8184,Produce,Low Fat,1,2.1,4.9,0.079
ORD100040,08-12-2022,OUT003,Supermarket Type 1,Medium,Tier 1,2016,SKU5788,Snacks,Regular,1,2.72,3.3,0.052
ORD100041,17-03-2024,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU7122,Frozen,Low Fat,1,4.78,3.8,0.087
ORD100042,06-11-2024,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU6136,Meat,Regular,6,38.5,3.9,0.112
ORD100043,23-10-2023,OUT004,Convenience Store,Small,Tier 3,2005,SKU1390,Frozen,Regular,1,6.11,3.5,0.112
ORD100044,06-04-2024,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU9684,Dairy,Regular,1,2.02,4.5,0.064
ORD100045,28-11-2023,OUT017,Supermarket Type 1,Large,Tier 1,2011,SKU9623,Produce,Low Fat,1,2.42,4,0.087
ORD100046,21-08-2024,OUT010,Grocery Store,Small,Tier 1,2019,SKU4564,Snacks,Regular,1,2.94,3.7,0.094
ORD100047,28-12-2023,OUT015,Grocery Store,Small,Tier 2,2012,SKU5675,Beverages,Regular,1,2.69,3.7,0.068
ORD100048,09-07-2024,OUT014,Grocery Store,Large,Tier 3,2018,SKU4020,Beverages,Regular,4,10.06,4.5,0.085
ORD100049,09-02-2022,OUT017,Supermarket Type 1,Large,Tier 1,2011,SKU3808,Canned Foods,Low Fat,1,2.82,3.9,0.084
ORD100050,23-03-2022,OUT006,Supermarket Type 2,Small,Tier 1,2020,SKU6352,Snacks,Low Fat,6,21.26,3.3,0.085
ORD100051,01-01-2024,OUT009,Grocery Store,Medium,Tier 1,2018,SKU6126,Produce,Regular,1,2.12,3.8,0.114
ORD100052,04-04-2023,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU1988,Meat,Regular,5,51.08,3.5,0.034
ORD100053,24-07-2023,OUT010,Grocery Store,Small,Tier 1,2019,SKU1959,Beverages,Low Fat,1,2.24,3.9,0.04
ORD100054,31-03-2023,OUT007,Supermarket Type 1,Small,Tier 2,2016,SKU2389,Produce,Regular,7,15.89,4.6,0.088
ORD100055,05-02-2023,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU7732,Beverages,Regular,1,2.68,3.5,0.072
ORD100056,02-05-2022,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU9442,Personal Care,Regular,1,4.39,5,0.121
ORD100057,19-03-2024,OUT002,Supermarket Type 2,Small,Tier 2,2008,SKU8979,Beverages,Regular,1,2.67,3.5,0.103
ORD100058,22-05-2024,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU7563,Frozen,Regular,1,7.41,3.2,0.12
ORD100059,25-01-2024,OUT017,Supermarket Type 1,Large,Tier 1,2011,SKU5648,Snacks,Regular,1,3.2,3.9,0.112
ORD100060,10-05-2022,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU6724,Dairy,Regular,1,1.92,4.6,0.099
ORD100061,30-07-2023,OUT017,Supermarket Type 1,Large,Tier 1,2011,SKU1281,Snacks,Regular,1,2.37,3.9,0.049
ORD100062,16-04-2024,OUT006,Supermarket Type 2,Small,Tier 1,2020,SKU7294,Frozen,Regular,1,7,3.5,0.098
ORD100063,09-05-2022,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU4072,Household,Regular,1,4.21,3.5,0.129
ORD100064,06-10-2024,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU2000,Canned Foods,Low Fat,1,2.38,4.5,0.109
ORD100065,24-12-2024,OUT004,Convenience Store,Small,Tier 3,2005,SKU7471,Produce,Low Fat,1,1.6,3.8,0.079
ORD100066,12-01-2022,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU1140,Canned Foods,Low Fat,1,2.49,3.5,0.054
ORD100067,21-01-2024,OUT005,Supermarket Type 1,Medium,Tier 1,2021,SKU3359,Household,Regular,3,12.79,3.6,0.075
ORD100068,13-07-2023,OUT020,Convenience Store,Medium,Tier 3,2013,SKU4273,Bakery,Low Fat,3,9.61,4.2,0.046
ORD100069,04-11-2023,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU7602,Bakery,Low Fat,9,30.32,4.3,0.129
ORD100070,02-10-2024,OUT010,Grocery Store,Small,Tier 1,2019,SKU4610,Personal Care,Regular,2,8.76,3.2,0.047
ORD100071,08-12-2022,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU1207,Household,Low Fat,1,5.55,4.6,0.071
ORD100072,06-09-2024,OUT011,Grocery Store,Medium,Tier 3,2007,SKU3785,Snacks,Low Fat,1,2.87,3.8,0.045
ORD100073,31-01-2024,OUT005,Supermarket Type 1,Medium,Tier 1,2021,SKU9785,Meat,Regular,1,6.15,4.2,0.14
ORD100074,26-12-2024,OUT010,Grocery Store,Small,Tier 1,2019,SKU5259,Frozen,Regular,1,5.54,4.5,0.056
ORD100075,21-08-2024,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU7525,Snacks,Regular,10,31.58,4.1,0.07
ORD100076,24-03-2022,OUT016,Grocery Store,Medium,Tier 2,2017,SKU8870,Household,Regular,1,4.62,3.4,0.116
ORD100077,21-08-2023,OUT011,Grocery Store,Medium,Tier 3,2007,SKU5268,Personal Care,Regular,1,3.81,3.3,0.057
ORD100078,04-11-2022,OUT014,Grocery Store,Large,Tier 3,2018,SKU8177,Beverages,Low Fat,5,14.02,3.6,0.079
ORD100079,27-12-2023,OUT002,Supermarket Type 2,Small,Tier 2,2008,SKU3711,Beverages,Regular,1,2.99,2.8,0.086
ORD100080,12-03-2023,OUT004,Convenience Store,Small,Tier 3,2005,SKU7979,Snacks,Regular,2,6.41,5,0.061
ORD100081,09-01-2023,OUT017,Supermarket Type 1,Large,Tier 1,2011,SKU3461,Meat,Low Fat,5,45.57,4,0.141
ORD100082,02-05-2022,OUT010,Grocery Store,Small,Tier 1,2019,SKU4537,Beverages,Low Fat,1,2.27,4.1,0.08
ORD100083,03-12-2024,OUT014,Grocery Store,Large,Tier 3,2018,SKU6343,Meat,Regular,4,34.57,3.4,0.112
ORD100084,29-10-2022,OUT008,Supermarket Type 2,Medium,Tier 1,2023,SKU4983,Produce,Regular,1,2.22,3.8,0.132
ORD100085,15-08-2022,OUT011,Grocery Store,Medium,Tier 3,2007,SKU7841,Beverages,Regular,1,2.35,5,0.116
ORD100086,17-08-2023,OUT011,Grocery Store,Medium,Tier 3,2007,SKU2169,Household,Regular,1,5.58,4.4,0.054
ORD100087,22-10-2023,OUT020,Convenience Store,Medium,Tier 3,2013,SKU7397,Household,Regular,1,4.6,4.2,0.086
ORD100088,01-07-2023,OUT012,Convenience Store,Small,Tier 2,2006,SKU1685,Household,Low Fat,1,5.3,3.7,0.091
ORD100089,25-05-2024,OUT011,Grocery Store,Medium,Tier 3,2007,SKU1689,Dairy,Low Fat,1,2.04,4.4,0.072
ORD100090,01-08-2024,OUT008,Supermarket Type 2,Medium,Tier 1,2023,SKU7588,Produce,Regular,1,1.87,3.7,0.099
ORD100091,16-08-2023,OUT003,Supermarket Type 1,Medium,Tier 1,2016,SKU4750,Beverages,Regular,1,2.33,4,0.058
ORD100092,03-09-2023,OUT012,Convenience Store,Small,Tier 2,2006,SKU3113,Household,Low Fat,1,5.66,4,0.075
ORD100093,24-08-2023,OUT006,Supermarket Type 2,Small,Tier 1,2020,SKU5943,Snacks,Regular,3,13.31,3.9,0.095
ORD100094,17-07-2024,OUT017,Supermarket Type 1,Large,Tier 1,2011,SKU1923,Dairy,Regular,4,6.57,3.9,0.081
ORD100095,18-07-2024,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU7299,Snacks,Low Fat,3,8.64,3.9,0.069
ORD100096,10-02-2022,OUT020,Convenience Store,Medium,Tier 3,2013,SKU6779,Snacks,Regular,1,2.77,4.4,0.121
ORD100097,23-05-2022,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU1141,Bakery,Regular,3,12.09,2.9,0.105
ORD100098,19-08-2023,OUT015,Grocery Store,Small,Tier 2,2012,SKU2531,Produce,Regular,2,3.12,3.9,0.029
ORD100099,31-03-2024,OUT010,Grocery Store,Small,Tier 1,2019,SKU2492,Produce,Low Fat,1,2.16,3.5,0.087
ORD100100,24-11-2024,OUT011,Grocery Store,Medium,Tier 3,2007,SKU2846,Produce,Regular,1,1.93,3.6,0.145
ORD100101,13-12-2022,OUT011,Grocery Store,Medium,Tier 3,2007,SKU9333,Frozen,Regular,1,5.84,3.6,0.06
ORD100102,24-09-2024,OUT009,Grocery Store,Medium,Tier 1,2018,SKU5912,Bakery,Regular,1,3.33,3.6,0.112
ORD100103,18-02-2024,OUT002,Supermarket Type 2,Small,Tier 2,2008,SKU1987,Household,Regular,3,15.05,4.1,0.062
ORD100104,16-09-2024,OUT014,Grocery Store,Large,Tier 3,2018,SKU5658,Canned Foods,Regular,4,11.43,4.1,0.062
ORD100105,22-01-2023,OUT004,Convenience Store,Small,Tier 3,2005,SKU2130,Personal Care,Low Fat,1,4.22,3.4,0.108
ORD100106,19-11-2024,OUT005,Supermarket Type 1,Medium,Tier 1,2021,SKU1006,Snacks,Low Fat,1,2.86,4.4,0.119
ORD100107,06-05-2022,OUT003,Supermarket Type 1,Medium,Tier 1,2016,SKU1442,Beverages,Low Fat,1,3.02,3.1,0.036
ORD100108,05-05-2022,OUT009,Grocery Store,Medium,Tier 1,2018,SKU2936,Snacks,Regular,1,3.24,3,0.085
ORD100109,31-03-2024,OUT017,Supermarket Type 1,Large,Tier 1,2011,SKU7652,Snacks,Regular,10,24.69,4.1,0.107
ORD100110,01-02-2024,OUT016,Grocery Store,Medium,Tier 2,2017,SKU1475,Household,Low Fat,1,4.73,5,0.081
ORD100111,30-03-2024,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU6806,Bakery,Low Fat,2,7.69,4.3,0.083
ORD100112,26-04-2022,OUT004,Convenience Store,Small,Tier 3,2005,SKU6929,Produce,Regular,2,4.65,4.2,0.116
ORD100113,19-01-2022,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU9448,Produce,Regular,3,5.22,3.6,0.086
ORD100114,30-07-2024,OUT007,Supermarket Type 1,Small,Tier 2,2016,SKU2497,Snacks,Regular,1,2.55,3.6,0.106
ORD100115,16-11-2024,OUT010,Grocery Store,Small,Tier 1,2019,SKU8651,Bakery,Low Fat,1,3.17,4.1,0.065
ORD100116,16-02-2023,OUT016,Grocery Store,Medium,Tier 2,2017,SKU8161,Beverages,Regular,3,8.28,4.8,0.086
ORD100117,25-01-2023,OUT010,Grocery Store,Small,Tier 1,2019,SKU9662,Meat,Regular,1,9.08,4.8,0.04
ORD100118,24-06-2024,OUT020,Convenience Store,Medium,Tier 3,2013,SKU6621,Beverages,Low Fat,6,8.63,4,0.037
ORD100119,22-05-2024,OUT014,Grocery Store,Large,Tier 3,2018,SKU2751,Dairy,Regular,5,9.69,4.2,0.062
ORD100120,28-07-2024,OUT020,Convenience Store,Medium,Tier 3,2013,SKU4841,Canned Foods,Regular,1,2.41,3.5,0.01
ORD100121,02-06-2024,OUT015,Grocery Store,Small,Tier 2,2012,SKU2524,Bakery,Regular,1,3.4,3.6,0.102
ORD100122,12-01-2022,OUT002,Supermarket Type 2,Small,Tier 2,2008,SKU6345,Snacks,Regular,1,2.92,4.8,0.081
ORD100123,24-06-2023,OUT002,Supermarket Type 2,Small,Tier 2,2008,SKU1215,Meat,Regular,2,16.55,3.6,0.082
ORD100124,04-03-2024,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU2757,Bakery,Low Fat,1,3.47,4.6,0.089
ORD100125,27-11-2022,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU1619,Beverages,Regular,3,8.27,4,0.097
ORD100126,04-06-2023,OUT003,Supermarket Type 1,Medium,Tier 1,2016,SKU9155,Household,Regular,5,27.36,3.4,0.059
ORD100127,01-04-2023,OUT017,Supermarket Type 1,Large,Tier 1,2011,SKU3451,Frozen,Regular,2,10.05,3.1,0.11
ORD100128,26-04-2022,OUT011,Grocery Store,Medium,Tier 3,2007,SKU3780,Produce,Regular,1,2.15,4.9,0.025
ORD100129,01-12-2023,OUT006,Supermarket Type 2,Small,Tier 1,2020,SKU5570,Personal Care,Regular,1,3.54,4,0.101
ORD100130,09-02-2022,OUT014,Grocery Store,Large,Tier 3,2018,SKU9891,Produce,Low Fat,1,1.78,3.5,0.049
ORD100131,23-04-2024,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU6141,Personal Care,Low Fat,1,3.55,4.9,0.109
ORD100132,26-07-2024,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU2104,Snacks,Regular,5,16.2,4.4,0.07
ORD100133,11-02-2023,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU5160,Meat,Low Fat,1,10.15,4.6,0.01
ORD100134,04-01-2023,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU7426,Frozen,Regular,1,6.38,3.8,0.097
ORD100135,11-11-2024,OUT009,Grocery Store,Medium,Tier 1,2018,SKU1139,Dairy,Regular,1,2.3,4.6,0.054
ORD100136,28-04-2022,OUT008,Supermarket Type 2,Medium,Tier 1,2023,SKU8196,Beverages,Regular,1,2.49,3.9,0.092
ORD100137,01-03-2023,OUT005,Supermarket Type 1,Medium,Tier 1,2021,SKU2518,Snacks,Regular,6,18.1,3.7,0.072
ORD100138,19-08-2023,OUT005,Supermarket Type 1,Medium,Tier 1,2021,SKU3642,Snacks,Regular,1,3.25,4.2,0.092
ORD100139,25-01-2022,OUT008,Supermarket Type 2,Medium,Tier 1,2023,SKU5937,Produce,Regular,1,1.6,3.6,0.076
ORD100140,02-01-2023,OUT003,Supermarket Type 1,Medium,Tier 1,2016,SKU5897,Beverages,Low Fat,1,3.14,3.8,0.128
ORD100141,01-10-2023,OUT009,Grocery Store,Medium,Tier 1,2018,SKU6488,Frozen,Regular,4,27.59,4.5,0.073
ORD100142,12-01-2024,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU4278,Canned Foods,Regular,1,2.78,3.9,0.081
ORD100143,09-05-2024,OUT011,Grocery Store,Medium,Tier 3,2007,SKU4927,Household,Regular,3,12.74,4.3,0.072
ORD100144,14-09-2023,OUT004,Convenience Store,Small,Tier 3,2005,SKU9143,Dairy,Low Fat,2,5.23,3.4,0.094
ORD100145,10-05-2023,OUT014,Grocery Store,Large,Tier 3,2018,SKU2673,Snacks,Low Fat,2,5.17,3.5,0.086
ORD100146,31-10-2024,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU5236,Dairy,Low Fat,4,8.66,5,0.088
ORD100147,13-07-2024,OUT002,Supermarket Type 2,Small,Tier 2,2008,SKU8374,Frozen,Regular,4,20.7,4.4,0.052
ORD100148,30-10-2023,OUT004,Convenience Store,Small,Tier 3,2005,SKU7801,Bakery,Low Fat,4,13.42,4.5,0.095
ORD100149,04-04-2024,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU7003,Frozen,Low Fat,1,6.04,4.3,0.074
ORD100150,16-06-2024,OUT007,Supermarket Type 1,Small,Tier 2,2016,SKU8871,Produce,Low Fat,2,4.95,3.4,0.046
ORD100151,28-12-2023,OUT011,Grocery Store,Medium,Tier 3,2007,SKU9841,Personal Care,Regular,1,3.03,3.5,0.126
ORD100152,20-10-2023,OUT012,Convenience Store,Small,Tier 2,2006,SKU5933,Frozen,Regular,3,20,4.4,0.068
ORD100153,18-06-2023,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU2205,Household,Low Fat,2,9.24,4.3,0.111
ORD100154,08-05-2024,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU1919,Beverages,Regular,1,2.65,4.5,0.14
ORD100155,18-05-2022,OUT016,Grocery Store,Medium,Tier 2,2017,SKU6780,Frozen,Regular,7,48.45,4.6,0.096
ORD100156,03-11-2024,OUT004,Convenience Store,Small,Tier 3,2005,SKU1615,Bakery,Low Fat,2,9.09,3.7,0.07
ORD100157,10-01-2023,OUT007,Supermarket Type 1,Small,Tier 2,2016,SKU7055,Household,Low Fat,1,5.26,3.8,0.085
ORD100158,02-10-2023,OUT004,Convenience Store,Small,Tier 3,2005,SKU4294,Produce,Low Fat,7,16.5,3.9,0.075
ORD100159,02-08-2024,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU9775,Household,Low Fat,1,4.64,4.4,0.061
ORD100160,22-06-2024,OUT015,Grocery Store,Small,Tier 2,2012,SKU8357,Produce,Low Fat,1,2.06,5,0.09
ORD100161,24-12-2024,OUT012,Convenience Store,Small,Tier 2,2006,SKU1844,Frozen,Regular,2,10.19,2.3,0.036
ORD100162,31-01-2024,OUT014,Grocery Store,Large,Tier 3,2018,SKU7139,Produce,Low Fat,1,2.44,3.4,0.087
ORD100163,28-01-2024,OUT020,Convenience Store,Medium,Tier 3,2013,SKU8869,Household,Regular,8,33.42,5,0.148
ORD100164,23-01-2023,OUT003,Supermarket Type 1,Medium,Tier 1,2016,SKU9519,Beverages,Regular,1,2.61,3.9,0.013
ORD100165,05-06-2024,OUT010,Grocery Store,Small,Tier 1,2019,SKU8069,Frozen,Low Fat,1,4.09,4.6,0.073
ORD100166,09-01-2024,OUT005,Supermarket Type 1,Medium,Tier 1,2021,SKU8850,Beverages,Regular,2,5.21,3.3,0.086
ORD100167,08-12-2022,OUT007,Supermarket Type 1,Small,Tier 2,2016,SKU5763,Meat,Low Fat,1,8.26,3.5,0.096
ORD100168,20-10-2022,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU5891,Beverages,Low Fat,1,2.87,3.8,0.099
ORD100169,17-05-2022,OUT018,Supermarket Type 2,Small,Tier 1,2015,SKU1270,Household,Regular,1,4.86,3.8,0.097
ORD100170,17-12-2022,OUT011,Grocery Store,Medium,Tier 3,2007,SKU3341,Frozen,Low Fat,2,13.4,4.7,0.026
ORD100171,24-05-2024,OUT009,Grocery Store,Medium,Tier 1,2018,SKU5668,Personal Care,Regular,3,14.47,3.6,0.073
ORD100172,08-08-2023,OUT015,Grocery Store,Small,Tier 2,2012,SKU7100,Beverages,Regular,1,2.51,3.8,0.048
ORD100173,09-02-2023,OUT007,Supermarket Type 1,Small,Tier 2,2016,SKU1071,Snacks,Regular,3,9.3,3.8,0.115
ORD100174,12-10-2024,OUT012,Convenience Store,Small,Tier 2,2006,SKU8566,Household,Regular,1,5.13,4.2,0.074
ORD100175,02-05-2022,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU5524,Personal Care,Low Fat,1,3.62,4.9,0.085
ORD100176,16-05-2022,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU1422,Produce,Regular,2,3.82,4.1,0.085
ORD100177,09-05-2023,OUT011,Grocery Store,Medium,Tier 3,2007,SKU6054,Produce,Regular,1,2.38,3.6,0.118
ORD100178,30-03-2023,OUT004,Convenience Store,Small,Tier 3,2005,SKU3931,Canned Foods,Regular,1,2.06,3.9,0.071
ORD100179,19-12-2023,OUT012,Convenience Store,Small,Tier 2,2006,SKU6450,Canned Foods,Low Fat,1,2.05,3.7,0.111
ORD100180,25-10-2022,OUT003,Supermarket Type 1,Medium,Tier 1,2016,SKU1464,Snacks,Low Fat,1,2.95,3.6,0.105
ORD100181,04-02-2023,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU5933,Produce,Low Fat,1,1.89,3.5,0.073
ORD100182,07-08-2024,OUT016,Grocery Store,Medium,Tier 2,2017,SKU4406,Canned Foods,Regular,3,8.6,4.3,0.047
ORD100183,05-10-2022,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU2907,Produce,Regular,1,1.9,4.8,0.113
ORD100184,16-01-2022,OUT006,Supermarket Type 2,Small,Tier 1,2020,SKU7553,Household,Regular,1,5.51,4,0.115
ORD100185,30-10-2022,OUT003,Supermarket Type 1,Medium,Tier 1,2016,SKU8206,Personal Care,Low Fat,1,3.24,4.7,0.014
ORD100186,11-07-2024,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU8189,Personal Care,Regular,1,4.36,4.1,0.099
ORD100187,21-10-2022,OUT019,Supermarket Type 1,Medium,Tier 2,2009,SKU1609,Canned Foods,Low Fat,1,2.9,4.1,0.104
ORD100188,25-07-2022,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU5603,Produce,Low Fat,1,1.87,2.8,0.056
ORD100189,12-07-2022,OUT007,Supermarket Type 1,Small,Tier 2,2016,SKU1242,Household,Low Fat,1,4.86,4.4,0.123
ORD100190,07-07-2022,OUT009,Grocery Store,Medium,Tier 1,2018,SKU5875,Beverages,Low Fat,1,2.64,3.9,0.027
ORD100191,12-01-2024,OUT012,Convenience Store,Small,Tier 2,2006,SKU2652,Dairy,Regular,1,2.05,4.2,0.085
ORD100192,16-01-2023,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU8008,Bakery,Low Fat,1,3.74,3.5,0.045
ORD100193,04-08-2024,OUT004,Convenience Store,Small,Tier 3,2005,SKU7106,Produce,Low Fat,1,1.49,3.9,0.051
ORD100194,01-07-2024,OUT017,Supermarket Type 1,Large,Tier 1,2011,SKU6275,Canned Foods,Low Fat,1,2.47,4,0.139
ORD100195,31-10-2022,OUT013,Supermarket Type 2,Small,Tier 2,2022,SKU7533,Meat,Regular,2,12.67,3.9,0.065
ORD100196,30-08-2023,OUT008,Supermarket Type 2,Medium,Tier 1,2023,SKU6811,Bakery,Regular,1,3.41,3.3,0.091
ORD100197,13-01-2023,OUT014,Grocery Store,Large,Tier 3,2018,SKU9415,Snacks,Low Fat,1,3.1,4.6,0.138
ORD100198,20-02-2023,OUT002,Supermarket Type 2,Small,Tier 2,2008,SKU5086,Bakery,Regular,1,3.38,4,0.081
ORD100199,09-01-2022,OUT016,Grocery Store,Medium,Tier 2,2017,SKU5056,Dairy,Low Fat,5,9.36,4.4,0.113
ORD100200,20-06-2022,OUT007,Supermarket Type 1,Small,Tier 2,2016,SKU6089,Snacks,Low Fat,1,3.02,4.2,0.041
ORD100201,29-04-2024,OUT001,Supermarket Type 2,Large,Tier 2,2011,SKU5658,Household,Low Fat,2,9.94,3.9,0.081
