Case_ID,Customer_ID,Transaction_ID,Date_Raised,Payment_Method,Dispute_Type,Transaction_Amount,Merchant_Category,Transaction_Status,Customer_Claim,Evidence_Available,Risk_Level,Refund_Eligibility,Case_Status,SLA_Target_Days,Actual_Resolution_Days,SLA_Breached,Assigned_Team,Refund_Amount,Root_Cause,Customer_Sentiment
DSP-0027,CUST-6143,TXN-795612,2026-02-01,Wallet,Duplicate Debit,25.28,Bills & Utilities,Failed,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,4,No,Refund Team,25.28,Duplicate Processing,Neutral
DSP-0028,CUST-7653,TXN-674553,2026-01-01,Card,Duplicate Debit,116.67,Travel,Success,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,7,Yes,Refund Team,116.67,Duplicate Processing,Negative
DSP-0029,CUST-3780,TXN-790855,2026-01-22,Card,Merchant Not Credited,49,Transport,Success,The money left my account but the merchant says they did not receive it.,No,Medium,Manual Review,Awaiting Evidence,7,8,Yes,Merchant Support,0,Merchant Settlement Delay,Negative
DSP-0030,CUST-8461,TXN-534572,2026-05-28,Card,Wrong Amount Debited,40.01,E-commerce,Failed,I authorised a lower amount but a higher amount was taken.,No,Medium,Manual Review,Resolved,5,9,Yes,Payment Operations,40.01,System Mapping Error,Negative
DSP-0031,CUST-1822,TXN-684482,2026-03-05,Open Banking,Failed Payment,14.9,Subscription,Pending,My payment of £14.90 failed but the money was debited.,Yes,Medium,Manual Review,Resolved,5,2,No,Payment Operations,0,Bank Reversal Delay,Positive
DSP-0032,CUST-8777,TXN-571932,2026-03-08,Wallet,Unauthorised Transaction,9.39,Bills & Utilities,Failed,This payment was made without my permission.,Yes,High,Manual Review,Resolved,10,7,No,Fraud Review,7.04,Fraud Indicator,Negative
DSP-0033,CUST-9849,TXN-184491,2026-02-05,Card,Refund Delay,21.24,Bills & Utilities,Success,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,11,Yes,Refund Team,0,Merchant Settlement Delay,Negative
DSP-0034,CUST-7232,TXN-600149,2026-01-02,Open Banking,Duplicate Debit,9.2,Transport,Success,I was charged twice for the same payment of £9.20.,No,Medium,Manual Review,Resolved,5,11,Yes,Refund Team,0,Duplicate Processing,Negative
DSP-0035,CUST-8999,TXN-330080,2026-03-11,Bank Transfer,Failed Payment,19.21,Bills & Utilities,Failed,My payment of £19.21 failed but the money was debited.,No,Medium,Manual Review,Awaiting Evidence,5,12,Yes,Payment Operations,0,Gateway Timeout,Negative
DSP-0036,CUST-2375,TXN-773971,2026-04-20,Card,Refund Delay,14.07,Retail,Success,My refund of £14.07 is still pending after several days.,Yes,Medium,Manual Review,Resolved,7,5,No,Refund Team,0,Merchant Settlement Delay,Positive
DSP-0037,CUST-2341,TXN-593152,2026-01-05,Wallet,Failed Payment,94.58,Food Delivery,Pending,The transaction failed and I still cannot see my money returned.,Yes,Medium,Manual Review,Resolved,5,7,Yes,Payment Operations,47.29,Gateway Timeout,Negative
DSP-0038,CUST-2874,TXN-691364,2026-02-25,Bank Transfer,Duplicate Debit,24.9,E-commerce,Failed,I was charged twice for the same payment of £24.90.,No,Medium,Manual Review,Resolved,5,8,Yes,Refund Team,24.9,Duplicate Processing,Negative
DSP-0039,CUST-6111,TXN-703766,2026-04-07,Card,Wrong Amount Debited,49.73,Transport,Success,I authorised a lower amount but a higher amount was taken.,Yes,Medium,Manual Review,Resolved,5,7,Yes,Payment Operations,49.73,System Mapping Error,Negative
DSP-0040,CUST-2129,TXN-630538,2026-03-29,Card,Refund Delay,39.44,Travel,Failed,My refund of £39.44 is still pending after several days.,No,Medium,Manual Review,Resolved,7,5,No,Refund Team,39.44,Manual Follow-up Delay,Positive
DSP-0041,CUST-8616,TXN-556732,2026-03-10,Card,Duplicate Debit,97.41,Bills & Utilities,Success,I was charged twice for the same payment of £97.41.,Yes,Low,Eligible,Resolved,5,1,No,Refund Team,97.41,Duplicate Processing,Positive
DSP-0042,CUST-8988,TXN-322423,2026-04-01,Wallet,Refund Delay,258.77,Travel,Failed,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,4,No,Refund Team,0,Bank Reversal Delay,Positive
DSP-0043,CUST-8800,TXN-777278,2026-05-06,Bank Transfer,Failed Payment,24.44,Retail,Success,The transaction failed and I still cannot see my money returned.,No,Medium,Manual Review,Awaiting Evidence,5,3,No,Payment Operations,0,Bank Reversal Delay,Positive
DSP-0044,CUST-8434,TXN-384076,2026-03-20,Card,Failed Payment,24.31,Subscription,Pending,My payment of £24.31 failed but the money was debited.,Yes,Medium,Manual Review,Resolved,5,5,No,Payment Operations,24.31,Gateway Timeout,Positive
DSP-0045,CUST-4180,TXN-410636,2026-02-28,Card,Duplicate Debit,57.24,Food Delivery,Pending,I was charged twice for the same payment of £57.24.,Yes,Low,Eligible,In Review,5,2,No,Refund Team,0,Duplicate Processing,Neutral
DSP-0046,CUST-5658,TXN-592198,2026-05-03,Bank Transfer,Failed Payment,33.7,Bills & Utilities,Failed,The transaction failed and I still cannot see my money returned.,Yes,Medium,Eligible,Resolved,5,4,No,Payment Operations,33.7,System Mapping Error,Neutral
DSP-0047,CUST-2395,TXN-360247,2026-01-31,Bank Transfer,Refund Delay,58.4,Transport,Failed,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,4,No,Refund Team,0,Merchant Settlement Delay,Neutral
DSP-0048,CUST-4404,TXN-755900,2026-02-24,Card,Failed Payment,17.34,Retail,Success,The transaction failed and I still cannot see my money returned.,Yes,Medium,Manual Review,Resolved,5,9,Yes,Payment Operations,13,System Mapping Error,Negative
DSP-0049,CUST-8438,TXN-174637,2026-03-01,Open Banking,Unauthorised Transaction,69.28,Retail,Success,This payment was made without my permission.,Yes,High,Manual Review,Resolved,10,12,Yes,Fraud Review,51.96,Manual Follow-up Delay,Negative
DSP-0050,CUST-8195,TXN-230394,2026-04-30,Wallet,Wrong Amount Debited,147.27,Bills & Utilities,Success,The wrong amount was debited from my account. Please investigate.,Yes,Medium,Manual Review,Resolved,5,7,Yes,Payment Operations,0,Customer Input Error,Negative
DSP-0051,CUST-2496,TXN-340044,2026-05-28,Bank Transfer,Failed Payment,351.4,Subscription,Success,The transaction failed and I still cannot see my money returned.,No,Medium,Manual Review,Resolved,5,5,No,Payment Operations,0,Bank Reversal Delay,Positive
DSP-0052,CUST-2494,TXN-592841,2026-03-31,Card,Duplicate Debit,20.35,Bills & Utilities,Failed,There are two debits for one order. Please refund the duplicate amount.,No,Low,Eligible,Awaiting Evidence,5,2,No,Refund Team,0,Duplicate Processing,Neutral
DSP-0053,CUST-2442,TXN-429795,2026-03-06,Card,Chargeback Request,30.33,Food Delivery,Failed,The service was not provided and I want to raise a chargeback.,Yes,Medium,Manual Review,Resolved,10,9,No,Payment Operations,22.75,Customer Evidence Missing,Negative
DSP-0054,CUST-4335,TXN-380028,2026-05-21,Card,Duplicate Debit,118.84,Food Delivery,Pending,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,4,No,Refund Team,118.84,Duplicate Processing,Neutral
DSP-0055,CUST-1224,TXN-679077,2026-04-15,Card,Chargeback Request,123.72,Food Delivery,Failed,"The merchant refused refund, so I need a chargeback review.",Yes,Medium,Manual Review,Resolved,10,4,No,Payment Operations,92.79,Manual Follow-up Delay,Neutral
DSP-0056,CUST-3369,TXN-502219,2026-02-18,Open Banking,Refund Delay,8.55,Bills & Utilities,Success,My refund of £8.55 is still pending after several days.,No,Medium,Manual Review,In Review,7,13,Yes,Refund Team,0,Merchant Settlement Delay,Negative
DSP-0057,CUST-9022,TXN-255813,2026-04-25,Bank Transfer,Refund Delay,47.74,Bills & Utilities,Pending,The merchant said the refund was processed but I have not received it.,No,Medium,Manual Review,In Review,7,9,Yes,Refund Team,0,Manual Follow-up Delay,Negative
DSP-0058,CUST-6213,TXN-880879,2026-05-02,Wallet,Unauthorised Transaction,24.68,Transport,Failed,This payment was made without my permission.,Yes,High,Manual Review,Resolved,10,13,Yes,Fraud Review,12.34,Fraud Indicator,Negative
DSP-0059,CUST-2633,TXN-651499,2026-04-27,Card,Failed Payment,16.29,Bills & Utilities,Failed,The transaction failed and I still cannot see my money returned.,No,Medium,Manual Review,Resolved,5,10,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0060,CUST-9864,TXN-137642,2026-01-18,Card,Wrong Amount Debited,27.08,Food Delivery,Success,The wrong amount was debited from my account. Please investigate.,Yes,Medium,Manual Review,Resolved,5,3,No,Payment Operations,0,System Mapping Error,Neutral
DSP-0061,CUST-6314,TXN-934816,2026-01-15,Card,Refund Delay,13.43,Subscription,Failed,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,11,Yes,Refund Team,13.43,Bank Reversal Delay,Negative
DSP-0062,CUST-4804,TXN-583550,2026-03-07,Bank Transfer,Merchant Not Credited,120.03,Travel,Failed,I paid successfully but the merchant has no confirmation.,No,Medium,Manual Review,Awaiting Evidence,7,10,Yes,Merchant Support,0,Incorrect Merchant Reference,Negative
DSP-0063,CUST-7951,TXN-823846,2026-03-06,Bank Transfer,Duplicate Debit,16,Travel,Failed,I was charged twice for the same payment of £16.00.,No,Medium,Manual Review,Resolved,5,6,Yes,Refund Team,16,Duplicate Processing,Negative
DSP-0064,CUST-9138,TXN-973294,2026-03-15,Wallet,Duplicate Debit,71.08,Retail,Failed,I was charged twice for the same payment of £71.08.,Yes,Low,Eligible,Resolved,5,10,Yes,Refund Team,71.08,Duplicate Processing,Negative
DSP-0065,CUST-2591,TXN-757937,2026-01-11,Card,Refund Delay,62.4,Food Delivery,Pending,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,6,No,Refund Team,0,Merchant Settlement Delay,Positive
DSP-0066,CUST-5210,TXN-964749,2026-05-04,Open Banking,Duplicate Debit,38.48,Transport,Pending,There are two debits for one order. Please refund the duplicate amount.,No,Medium,Manual Review,Resolved,5,10,Yes,Refund Team,0,Duplicate Processing,Negative
DSP-0067,CUST-2479,TXN-929090,2026-04-12,Card,Merchant Not Credited,33.07,E-commerce,Success,I paid successfully but the merchant has no confirmation.,Yes,Medium,Manual Review,Resolved,7,9,Yes,Merchant Support,33.07,Gateway Timeout,Negative
DSP-0068,CUST-4626,TXN-779112,2026-01-17,Bank Transfer,Refund Delay,93.31,Food Delivery,Success,The merchant said the refund was processed but I have not received it.,No,Medium,Manual Review,Open,7,8,Yes,Refund Team,0,Merchant Settlement Delay,Negative
DSP-0069,CUST-4846,TXN-663658,2026-02-04,Card,Refund Delay,46.62,E-commerce,Success,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,In Review,7,8,Yes,Refund Team,0,Bank Reversal Delay,Negative
DSP-0070,CUST-7070,TXN-327823,2026-04-24,Bank Transfer,Duplicate Debit,5.65,E-commerce,Success,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,1,No,Refund Team,5.65,Duplicate Processing,Neutral
DSP-0071,CUST-2501,TXN-794963,2026-02-24,Wallet,Merchant Not Credited,26.37,Subscription,Success,The money left my account but the merchant says they did not receive it.,No,Medium,Manual Review,In Review,7,11,Yes,Merchant Support,0,Gateway Timeout,Negative
DSP-0072,CUST-1046,TXN-390743,2026-02-07,Open Banking,Merchant Not Credited,65.96,Transport,Success,The money left my account but the merchant says they did not receive it.,Yes,Medium,Manual Review,Resolved,7,10,Yes,Merchant Support,49.47,Merchant Settlement Delay,Negative
DSP-0073,CUST-3076,TXN-877747,2026-04-18,Bank Transfer,Wrong Amount Debited,34.6,Subscription,Failed,I authorised a lower amount but a higher amount was taken.,No,Medium,Manual Review,Awaiting Evidence,5,6,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0074,CUST-8504,TXN-774591,2026-01-08,Card,Refund Delay,25.61,Bills & Utilities,Failed,My refund of £25.61 is still pending after several days.,Yes,Medium,Manual Review,Resolved,7,5,No,Refund Team,12.8,Bank Reversal Delay,Positive
DSP-0075,CUST-7240,TXN-726410,2026-05-16,Card,Refund Delay,24.73,Food Delivery,Pending,My refund of £24.73 is still pending after several days.,Yes,Medium,Manual Review,Resolved,7,5,No,Refund Team,18.55,Manual Follow-up Delay,Positive
DSP-0076,CUST-7815,TXN-865054,2026-01-25,Card,Duplicate Debit,67.91,Food Delivery,Pending,I was charged twice for the same payment of £67.91.,Yes,Low,Eligible,Resolved,5,1,No,Refund Team,67.91,Duplicate Processing,Positive
DSP-0077,CUST-1982,TXN-714953,2026-05-24,Bank Transfer,Wrong Amount Debited,14.45,Transport,Success,The wrong amount was debited from my account. Please investigate.,No,Medium,Manual Review,Resolved,5,12,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0078,CUST-3535,TXN-788637,2026-05-04,Card,Failed Payment,89.69,Transport,Success,The transaction failed and I still cannot see my money returned.,No,Medium,Manual Review,Awaiting Evidence,5,5,No,Payment Operations,0,Bank Reversal Delay,Neutral
DSP-0079,CUST-1474,TXN-289179,2026-03-11,Wallet,Duplicate Debit,140.28,Bills & Utilities,Success,There are two debits for one order. Please refund the duplicate amount.,No,Medium,Manual Review,Resolved,5,10,Yes,Refund Team,105.21,Duplicate Processing,Negative
DSP-0080,CUST-3578,TXN-488028,2026-03-21,Wallet,Unauthorised Transaction,45.05,Food Delivery,Success,This payment was made without my permission.,No,High,Manual Review,Resolved,10,13,Yes,Fraud Review,45.05,Fraud Indicator,Negative
DSP-0081,CUST-8957,TXN-736565,2026-04-24,Card,Duplicate Debit,41.57,Food Delivery,Success,I was charged twice for the same payment of £41.57.,Yes,Low,Eligible,Resolved,5,1,No,Refund Team,41.57,Duplicate Processing,Positive
DSP-0082,CUST-1125,TXN-314353,2026-03-19,Open Banking,Unauthorised Transaction,69.55,Food Delivery,Success,This payment was made without my permission.,No,High,Manual Review,Resolved,10,14,Yes,Fraud Review,34.77,Fraud Indicator,Negative
DSP-0083,CUST-2180,TXN-516359,2026-01-11,Bank Transfer,Refund Delay,16.51,Bills & Utilities,Failed,My refund of £16.51 is still pending after several days.,Yes,Medium,Manual Review,Open,7,5,No,Refund Team,0,Merchant Settlement Delay,Positive
DSP-0084,CUST-2443,TXN-557925,2026-01-28,Card,Merchant Not Credited,42.86,Travel,Failed,The money left my account but the merchant says they did not receive it.,Yes,Medium,Manual Review,Resolved,7,10,Yes,Merchant Support,0,Merchant Settlement Delay,Negative
DSP-0085,CUST-6724,TXN-468154,2026-02-07,Card,Failed Payment,13.33,Transport,Failed,The transaction failed and I still cannot see my money returned.,Yes,Medium,Eligible,Resolved,5,1,No,Payment Operations,13.33,System Mapping Error,Positive
DSP-0086,CUST-6179,TXN-258290,2026-04-23,Card,Refund Delay,27.21,Food Delivery,Success,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,6,No,Refund Team,20.41,Merchant Settlement Delay,Neutral
DSP-0087,CUST-9307,TXN-503159,2026-04-29,Bank Transfer,Chargeback Request,162.8,Retail,Success,The service was not provided and I want to raise a chargeback.,Yes,Medium,Manual Review,In Review,10,9,No,Payment Operations,0,Merchant Settlement Delay,Negative
DSP-0088,CUST-9266,TXN-777513,2026-02-14,Card,Wrong Amount Debited,52.02,Travel,Success,I authorised a lower amount but a higher amount was taken.,No,Medium,Manual Review,Awaiting Evidence,5,8,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0089,CUST-2079,TXN-445705,2026-01-25,Bank Transfer,Refund Delay,18.09,E-commerce,Success,My refund of £18.09 is still pending after several days.,Yes,Medium,Manual Review,Open,7,4,No,Refund Team,0,Bank Reversal Delay,Neutral
DSP-0090,CUST-9331,TXN-479404,2026-01-05,Card,Failed Payment,39.41,Retail,Success,My payment of £39.41 failed but the money was debited.,Yes,Medium,Manual Review,Resolved,5,8,Yes,Payment Operations,39.41,Gateway Timeout,Negative
DSP-0091,CUST-6517,TXN-903531,2026-02-03,Bank Transfer,Failed Payment,8.89,Subscription,Pending,The transaction failed and I still cannot see my money returned.,Yes,Medium,Manual Review,Resolved,5,8,Yes,Payment Operations,0,Bank Reversal Delay,Negative
DSP-0092,CUST-8355,TXN-345369,2026-05-17,Card,Chargeback Request,10.1,Subscription,Pending,The service was not provided and I want to raise a chargeback.,Yes,Medium,Manual Review,Resolved,10,6,No,Payment Operations,7.57,Customer Evidence Missing,Neutral
DSP-0093,CUST-3267,TXN-362147,2026-01-14,Wallet,APP Scam Claim,44.2,Transport,Failed,I believe I have been scammed through a bank transfer.,Yes,High,Manual Review,Open,10,11,Yes,Fraud Review,0,Fraud Indicator,Negative
DSP-0094,CUST-2502,TXN-332823,2026-04-26,Open Banking,Chargeback Request,32.93,Travel,Success,The service was not provided and I want to raise a chargeback.,No,Medium,Manual Review,Resolved,10,6,No,Payment Operations,16.46,Customer Evidence Missing,Positive
DSP-0095,CUST-3254,TXN-140163,2026-03-15,Open Banking,Refund Delay,299.5,Bills & Utilities,Success,My refund of £299.50 is still pending after several days.,Yes,Medium,Manual Review,Resolved,7,8,Yes,Refund Team,0,Bank Reversal Delay,Negative
DSP-0096,CUST-2821,TXN-913875,2026-03-15,Card,Failed Payment,14.06,Subscription,Success,My payment of £14.06 failed but the money was debited.,Yes,Medium,Manual Review,Resolved,5,6,Yes,Payment Operations,14.06,Bank Reversal Delay,Negative
DSP-0097,CUST-3352,TXN-405420,2026-04-20,Card,Refund Delay,45.91,E-commerce,Success,The merchant said the refund was processed but I have not received it.,No,Medium,Manual Review,Awaiting Evidence,7,12,Yes,Refund Team,0,Bank Reversal Delay,Negative
DSP-0098,CUST-7397,TXN-592972,2026-01-12,Bank Transfer,Chargeback Request,76.87,E-commerce,Failed,"The merchant refused refund, so I need a chargeback review.",Yes,Medium,Manual Review,Resolved,10,4,No,Payment Operations,38.44,Manual Follow-up Delay,Positive
DSP-0099,CUST-3868,TXN-970720,2026-04-29,Open Banking,Refund Delay,23.68,E-commerce,Failed,My refund of £23.68 is still pending after several days.,Yes,Medium,Manual Review,In Review,7,7,No,Refund Team,0,Merchant Settlement Delay,Positive
DSP-0100,CUST-9897,TXN-596395,2026-03-06,Card,Merchant Not Credited,5,Food Delivery,Pending,I paid successfully but the merchant has no confirmation.,Yes,Medium,Manual Review,In Review,7,13,Yes,Merchant Support,0,Merchant Settlement Delay,Negative
DSP-0101,CUST-8204,TXN-505426,2026-03-28,Open Banking,Refund Delay,38.56,Subscription,Success,My refund of £38.56 is still pending after several days.,No,Medium,Manual Review,Awaiting Evidence,7,9,Yes,Refund Team,0,Merchant Settlement Delay,Negative
DSP-0102,CUST-6262,TXN-207581,2026-01-21,Card,Duplicate Debit,30.59,Retail,Failed,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,4,No,Refund Team,30.59,Duplicate Processing,Positive
DSP-0103,CUST-5498,TXN-770532,2026-01-15,Card,Merchant Not Credited,14.85,E-commerce,Success,I paid successfully but the merchant has no confirmation.,Yes,Medium,Manual Review,Resolved,7,6,No,Merchant Support,14.85,Gateway Timeout,Positive
DSP-0104,CUST-7272,TXN-694799,2026-01-09,Bank Transfer,Wrong Amount Debited,114.68,Transport,Success,The wrong amount was debited from my account. Please investigate.,Yes,Medium,Manual Review,Resolved,5,3,No,Payment Operations,0,Customer Input Error,Neutral
DSP-0105,CUST-1424,TXN-871411,2026-02-17,Bank Transfer,Refund Delay,45.69,Travel,Failed,The merchant said the refund was processed but I have not received it.,Yes,Medium,Manual Review,Resolved,7,4,No,Refund Team,22.84,Manual Follow-up Delay,Positive
DSP-0106,CUST-8292,TXN-192055,2026-03-23,Wallet,Wrong Amount Debited,44.82,Travel,Pending,The wrong amount was debited from my account. Please investigate.,No,Medium,Manual Review,Awaiting Evidence,5,12,Yes,Payment Operations,0,System Mapping Error,Negative
DSP-0107,CUST-2988,TXN-310743,2026-02-05,Card,Refund Delay,25.17,Bills & Utilities,Pending,My refund of £25.17 is still pending after several days.,Yes,Medium,Manual Review,Resolved,7,6,No,Refund Team,0,Manual Follow-up Delay,Positive
DSP-0108,CUST-7708,TXN-963333,2026-05-28,Card,Chargeback Request,58.99,E-commerce,Failed,The service was not provided and I want to raise a chargeback.,Yes,Medium,Manual Review,Resolved,10,5,No,Payment Operations,29.5,Manual Follow-up Delay,Positive
DSP-0109,CUST-3034,TXN-643269,2026-02-09,Card,Failed Payment,91.7,Subscription,Pending,My payment of £91.70 failed but the money was debited.,No,Medium,Manual Review,Resolved,5,11,Yes,Payment Operations,0,Bank Reversal Delay,Negative
DSP-0110,CUST-9234,TXN-772124,2026-02-13,Bank Transfer,Merchant Not Credited,11.28,Subscription,Success,The money left my account but the merchant says they did not receive it.,No,Medium,Manual Review,Open,7,18,Yes,Merchant Support,0,Merchant Settlement Delay,Negative
DSP-0111,CUST-1744,TXN-772612,2026-05-28,Card,Duplicate Debit,53.27,Food Delivery,Failed,There are two debits for one order. Please refund the duplicate amount.,Yes,Low,Eligible,Resolved,5,1,No,Refund Team,53.27,Duplicate Processing,Positive
